user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text,reply_count,ratio,ratio_inv,timestamp_scrape
x21129105,bomani_jones,2018-11-13T20:45:05Z,x1062446274480365568,12,0,4pm ET @bomani_jones  and @PabloTorre  will be on @HIGHNOONonESPN  #HighNoon #recordseries,1,0.08333333333333333,12,2018-11-14T15:15:00Z
x21129105,bomani_jones,2018-11-13T14:28:39Z,x1062351541812822016,301,71,not sure anything is #hustlinbackwards quite like arguing about that jill scott video before 9:30 eastern.,28,0.07526881720430108,13.285714285714285,2018-11-14T15:15:00Z
x21129105,bomani_jones,2018-11-13T19:15:04Z,x1062423617793863690,36,16,"new #TheRightTime! jimmy in philly, melo in houston, peter man...gone, y’all getting balled up by the pros, and the wu and tribe! https://t.co/sVzfSw1FSL",2,0.038461538461538464,26,2018-11-14T15:15:00Z
x21129105,bomani_jones,2018-11-13T15:01:12Z,x1062359732231593985,8,2,subscribe to #TheRightTime with @bomani_jones on the @espn app or where ever you get your podcast https://t.co/SbHk1xGfJI,0,0,Inf,2018-11-14T15:15:00Z
x43139414,RealSkipBayless,2018-11-13T22:00:43Z,x1062465305652252672,27,2,Today's Undisputed podcast: https://t.co/AsfiWOjYyJ,4,0.13793103448275862,7.25,2018-11-14T17:17:00Z
x16302242,stephenasmith,2018-11-13T22:55:58Z,x1062479212676898817,971,195,Yep https://t.co/HNwusyHr75,148,0.1269296740994854,7.878378378378379,2018-11-14T17:17:00Z
x16302242,stephenasmith,2018-11-13T22:52:30Z,x1062478339653464065,59,11,Don’t! I don’t care https://t.co/5b1tLKhzkg,8,0.11428571428571428,8.75,2018-11-14T17:17:00Z
x16302242,stephenasmith,2018-11-13T22:51:07Z,x1062477990326689793,79,29,"to see cats partying on @TMZ unless you’re winning. When you don’t, folks want to at least believe you’re every bit as disgusted as they are. I’d have never gotten on @JohnWall if he were a scrub. But this brother can play. I expect more. I’m going to demand it. So should every1. https://t.co/DFIw4oLvM3",12,0.1111111111111111,9,2018-11-14T17:17:00Z
x16302242,stephenasmith,2018-11-13T22:52:11Z,x1062478259449982976,39,1,Thank Ya Kindly https://t.co/jQKCFriWvJ,4,0.1,10,2018-11-14T17:17:00Z
x16302242,stephenasmith,2018-11-13T22:53:30Z,x1062478588782493697,52,7,I’m certainly considering it. https://t.co/ahB58XJ5nC,5,0.0847457627118644,11.8,2018-11-14T17:17:00Z
x16302242,stephenasmith,2018-11-13T22:54:06Z,x1062478740125638657,39,2,Haaaaaaaaaa!!!!!! https://t.co/OAz5Fp4XUh,3,0.07317073170731707,13.666666666666668,2018-11-14T17:17:00Z
x16302242,stephenasmith,2018-11-13T22:53:45Z,x1062478653370580992,40,3,I may very well be there. https://t.co/806GvAE7M1,3,0.06976744186046512,14.333333333333334,2018-11-14T17:17:00Z
x16302242,stephenasmith,2018-11-13T22:51:25Z,x1062478067053010944,60,3,Get over it https://t.co/7EQXD57Zn3,4,0.06349206349206349,15.75,2018-11-14T17:17:00Z
x16302242,stephenasmith,2018-11-13T22:54:34Z,x1062478857603899392,32,2,Yes Sir https://t.co/m57LRq4ONP,2,0.058823529411764705,17,2018-11-14T17:17:00Z
x16302242,stephenasmith,2018-11-13T22:53:10Z,x1062478506343440384,53,9,Preach damnit. Preach https://t.co/otYysMZNfp,3,0.04838709677419355,20.666666666666668,2018-11-14T17:17:00Z
x16302242,stephenasmith,2018-11-13T22:54:56Z,x1062478949287124993,135,16,Haaaaa. Thank You https://t.co/IGWTKRH0Su,7,0.046357615894039736,21.57142857142857,2018-11-14T17:17:00Z
x16302242,stephenasmith,2018-11-13T22:55:36Z,x1062479118166560768,113,28,You won’t know when I’m coming. I move in Darkness :-) https://t.co/9CZeckfuZh,6,0.0425531914893617,23.5,2018-11-14T17:17:00Z
x16302242,stephenasmith,2018-11-13T22:55:50Z,x1062479177637679104,3706,866,Please. Trey https://t.co/B16xweFRtu,151,0.033027121609798774,30.27814569536424,2018-11-14T17:17:00Z
x16302242,stephenasmith,2018-11-13T22:49:05Z,x1062477478810316801,109,43,"I said “MAYBE.” I have commitments. May not be this weekend. Or at least this Saturday night. But trust me, I’ll make it there sometime this season. I ain’t hating on @JohnWall going there. He can do what he wants. I’m just saying you’ve got to BALL when you do that. No one wants https://t.co/DFIw4oLvM3",5,0.03289473684210526,30.400000000000002,2018-11-14T17:17:00Z
x16302242,stephenasmith,2018-11-13T22:52:43Z,x1062478394816974848,129,8,Amen https://t.co/AkZHGAFThl,1,0.0072992700729927005,137,2018-11-14T17:17:00Z
x16017475,NateSilver538,2018-11-13T23:06:42Z,x1062481910407020544,223,37,"This is a good point, and if you compare to *2016* voting instead of 2014, you get a pretty different result. With that said, this report says there's about 5,500 in Utah County and 34,500 in Salt Lake County left to go. https://t.co/owjWtDL1Mg https://t.co/KCwnWzxRoJ",5,0.019230769230769232,52,2018-11-14T17:17:00Z
x21129105,bomani_jones,2018-11-13T21:50:58Z,x1062462852689260545,32,0,anyone else get irate while i was on the train?,5,0.15625,6.4,2018-11-14T17:17:00Z
x21129105,bomani_jones,2018-11-13T21:50:08Z,x1062462645721354241,64,5,wait what https://t.co/KdFvu9LL2R,10,0.14492753623188406,6.8999999999999995,2018-11-14T17:17:00Z
x21129105,bomani_jones,2018-11-13T21:50:31Z,x1062462739073953792,76,9,"it’s a reference you don’t get, champ. i prefer jokes you don’t get. https://t.co/Djjj77w07n",2,0.023529411764705882,42.5,2018-11-14T17:17:00Z
x21129105,bomani_jones,2018-11-13T21:30:30Z,x1062457704726315011,270,53,"it’s been real, peter man. it’s been real. #highnoon https://t.co/td0Ar334mk",6,0.018575851393188854,53.833333333333336,2018-11-14T17:17:00Z
x21129105,bomani_jones,2018-11-14T14:32:16Z,x1062714840744189952,73,9,it’s a good one https://t.co/A53xqYzkNy,4,0.04878048780487805,20.5,2018-11-15T05:30:00Z
x21129105,bomani_jones,2018-11-14T20:45:04Z,x1062808655219834880,19,2,4pm ET @bomani_jones  and @PabloTorre  will be on @HIGHNOONonESPN  #HighNoon #recordseries,1,0.047619047619047616,21,2018-11-15T05:30:00Z
